PIETY Constructions Pty ltd
Raytheon Australia Pty ltd
RB Distributions Pty ltd
RBG Services
RBM Plastic Extrusions Pty ltd
Reads Electric Co Pty ltd
READY RESOURCES PTY ltd
Recoveries & Reconstruction (Aust.) Pty ltd
Recoveries Corporation Pty ltd
Rectifier Technologies Pacific Pty. ltd
Red Fox Advisory Pty ltd
Red Medicine Pty ltd
Redarc Electronics
RedEye Apps Pty ltd
Redframe Pty ltd
Redline Engineering Proprietary Limited
Redox Pty ltd
Regal Engineering
Regional Project Managers Australia Pty ltd
Regional Systems Support
Reid Stockfeeds Pty ltd
Reilly Contractors Pty ltd
Reitsema Packaging
Relational Data Systems Pty ltd
Reliable Conveyor Belt Pty ltd
Reliance Rail 
Reliance Worldwide Corporation (AUST.) Pty. ltd
Remondis Australia Pty ltd
Rendine Construction Proprietary Limited
Research Engineering Branch
Resero Pty ltd
Reserve Bank of Australia
Resistor Repairs & Overhauls Pty ltd
RESOLUTIONS TRADING
Resources Contractors Group Pty ltd
RetroCast Pty ltd
Revelian Pty ltd
Revenue NSW Department of Customer Service
REXEL Electrical Supplies Pty ltd
RGC Consulting Pty ltd
Rheem Australia Pty ltd
Rheem New Zealand Limited
Rheem Thermal Systems Group
Rhima Australia Pty. ltd
Rhino Rack Australia Pty Limited
Ricegrowers Limited
Rich Data Corporation (Australia) Pty ltd
Richbury Pty. ltd
Richmond Engineering Co. Vic. Pty. ltd
Riddoch Trading Pty ltd
Ridge Tool (Australia) Pty ltd
Riklan Emergency Management Services Pty ltd
Rinnai Australia Pty ltd
Rise Consulting Engineers Pty ltd
Risk & Security Management Pty ltd
Risk Management Technologies Pty ltd
Rite Weigh Scales Pty ltd
River City Garden & Lawn Pty ltd
River City Trees Pty ltd
River Hill Contracting Pty ltd
Riverina Fresh Pty ltd
RK Media Pty ltd
RLA Polymers Pty ltd
Road and Traffic Services Pty ltd
Road Rail Mine Products Pty ltd
Roads and Maritime Services
Roadside Services and Solutions Pty ltd
Roadstone West 
Robbie Lee Developments Pty ltd
Robertson Coatings Pty ltd
